File,Transcription,Category,mp3,Notes,Timestamp,NRE_ID
0001,Platform ,Platform ID,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0001.mp3,,0:00:00,
0002,A trolley service,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0002.mp3,,0:00:02,
0003,Warrington Bank Quay,Destination,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0003.mp3,,0:00:05,WBQ
0004,South West Trains service to,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0004.mp3,Bit of a detour,0:00:07,
0005,South West Trains service to,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0005.mp3,,0:00:10,
0006,Bath Spa,Destination,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0006.mp3,,0:00:14,BTH
0007,Midland Main Line,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0007.mp3,Stopped existing in 2007!,0:00:16,
0008,Midland Main Line service to ,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0008.mp3,,0:00:19,
0009,Midland Main Line service from,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0009.mp3,,0:00:22,
0010,[white noise],Non-vocal,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0010.mp3,non-vocal,0:00:26,
0011,The next train at platform,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0011.mp3,,0:00:32,
0012,The next train at platform 1 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0012.mp3,"""the"" (/ðə/)",,
0013,The next train at platform 2 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0013.mp3,"""the"" (/ðə/)",,
0014,The next train at platform 3 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0014.mp3,"""the"" (/ðə/)",,
0015,The next train at platform 4 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0015.mp3,"""the"" (/ðə/)",,
0016,The next train at platform 5 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0016.mp3,"""the"" (/ðə/)",,
0017,The next train at platform 6 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0017.mp3,"""the"" (/ðə/)",,
0018,The next train at platform 7 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0018.mp3,"""the"" (/ðə/)",,
0019,The next train at platform 8 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0019.mp3,"""the"" (/ðə/)",,
0020,The next train at platform 1 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0020.mp3,"""the"" (/ði/)",,
0021,The next train at platform 2 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0021.mp3,"""the"" (/ði/)",,
0022,The next train at platform 3 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0022.mp3,"""the"" (/ði/)",,
0023,The next train at platform 4 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0023.mp3,"""the"" (/ði/)",,
0024,The next train at platform 5 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0024.mp3,"""the"" (/ði/)",,
0025,The next train at platform 6 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0025.mp3,"""the"" (/ði/)",,
0026,The next train at platform 7 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0026.mp3,"""the"" (/ði/)",,
0027,The next train at platform 8 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0027.mp3,"""the"" (/ði/)",,
0028,This train will call additionally at ,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0028.mp3,,,
0029,will be in,Conjoining,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0029.mp3,,,
0030,will be at,Conjoining,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0030.mp3,,,
0031,I am sorry to announce that the,Apology,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0031.mp3,,,
0032,ScotRail,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0032.mp3,,,
0033,ScotRail service to,Train operating company ,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0033.mp3,,,
0034,ScotRail service from,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0034.mp3,,,
0035,platform 5 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0035.mp3,"""the"" (/ðə/)",,
0036,platform 6 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0036.mp3,"""the"" (/ðə/)",,
0037,Strathclyde metro service from ,Strathclyde metro,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0037.mp3,,,
0038,platform 1 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0038.mp3,"""the"" (/ði/)",,
0039,platform 2 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0039.mp3,"""the"" (/ði/)",,
0040,platform 3 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0040.mp3,"""the"" (/ði/)",,
0041,platform 4 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0041.mp3,"""the"" (/ði/)",,
0042,platform 5 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0042.mp3,"""the"" (/ði/)",,
0043,platform 6 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0043.mp3,"""the"" (/ði/)",,
0044,platform 7 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0044.mp3,"""the"" (/ðə/)",,
0045,platform 8 for the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0045.mp3,"""the"" (/ðə/)",,
0046,The public address at this station is currently under test,Operational,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0046.mp3,,,
0047,Please ignore the following announcements,Operational,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0047.mp3,,,
0048,Thank you,Conjoining,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0048.mp3,,,
0049,The display information system at this station,Operational,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0049.mp3,,,
0050,is currently under test,Operational,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0050.mp3,,,
0051,Please ignore any information currently displayed,Operational,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0051.mp3,,,
0052,The delayed,Conjoining,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0052.mp3,,,
0053,Midland Main Line,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0053.mp3,Low-pitch ending,,
0054,will now depart from platform 1,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0054.mp3,,,
0055,will now depart from platform 2,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0055.mp3,,,
0056,will now depart from platform 3,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0056.mp3,,,
0057,will now depart from platform 4,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0057.mp3,,,
0058,will now depart from platform 5,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0058.mp3,,,
0059,will now depart from platform 6,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0059.mp3,,,
0060,will now depart from platform 7,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0060.mp3,,,
0061,will now depart from platform 8,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0061.mp3,,,
0062,will now depart from,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0062.mp3,,,
0063,This train is formed of 11 coaches,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0063.mp3,,,
0064,This train is formed of 12 coaches,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0064.mp3,,,
0065,This train is formed of 1 coach only,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0065.mp3,,,
0066,This train is formed of 1 coach,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0066.mp3,,,
0067,delayed,Conjoining,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0067.mp3,,,
0068,The train now approaching platform 1,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0068.mp3,,,
0069,The train now approaching platform 2,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0069.mp3,Nice,,
0070,The train now approaching platform 3,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0070.mp3,,,
0071,The train now approaching platform 4,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0071.mp3,,,
0072,The train now approaching platform 5,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0072.mp3,,,
0073,The train now approaching platform 6,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0073.mp3,,,
0074,The train now approaching platform 7,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0074.mp3,,,
0075,The train now approaching platform 8,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0075.mp3,,,
0076,The train now approaching platform 2 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0076.mp3,"""the"" (/ði/)",,
0077,The train now approaching platform 3 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0077.mp3,"""the"" (/ði/)",,
0078,The train now approaching platform 4 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0078.mp3,"""the"" (/ði/)",,
0079,The train now approaching platform 5 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0079.mp3,"""the"" (/ði/)",,
0080,The train now approaching platform 6 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0080.mp3,"""the"" (/ði/)",,
0081,The train now approaching platform 7 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0081.mp3,"""the"" (/ði/)",,
0082,The train now approaching platform 8 is the,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0082.mp3,"""the"" (/ði/)",,
0083,Hexham,Destination,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0083.mp3,,,HEX
0084,of drinks and light refreshments,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0084.mp3,,,
0085,We are sorry to announce that the,Apology,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0085.mp3,Most frequently used file,,
0086,platform 1 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0086.mp3,,,
0087,platform 2 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0087.mp3,,,
0088,platform 3 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0088.mp3,,,
0089,platform 4 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0089.mp3,,,
0090,platform 5 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0090.mp3,,,
0091,platform 6 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0091.mp3,,,
0092,platform 7 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0092.mp3,,,
0093,platform 8 for the delayed,Platform information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0093.mp3,,,
0094,The next service is to,Passenger information,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0094.mp3,,,
0095,ScotRail services to,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0095.mp3,,,
0096,ScotRail service from,Train operating company,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0096.mp3,,,
0097,Will be in,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0097.mp3,,,
0098,Will be in 5 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0098.mp3,,,
0099,Will be in 10 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0099.mp3,,,
0100,Will be in 15 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0100.mp3,,,
0101,Will be in 20 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0101.mp3,,,
0102,Will be in 25 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0102.mp3,,,
0103,Will be in 30 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0103.mp3,,,
0104,Will be in 35 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0104.mp3,,,
0105,Will be in 40 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0105.mp3,,,
0106,Will be in 45 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0106.mp3,,,
0107,Will be in 50 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0107.mp3,,,
0108,Will be in 55 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0108.mp3,,,
0109,Will be in 1 hour,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0109.mp3,,,
0110,Is delayed by approximately 5 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0110.mp3,,,
0111,Is delayed by approximately 10 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0111.mp3,,,
0112,Is delayed by approximately 15 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0112.mp3,,,
0113,Is delayed by approximately 20 minutes,Time,https://github.com/matteason/scotrail-announcements-june-2022/raw/main/announcements/0113.mp3,,,
